Sales_Order_Document,Sales_Organization,Article,Size_Grid_Value,Requested_Delivery_Date,Sales_Order_Qty
33355552983001,417600,G85D5D1,300,01-11-2021,18
33355552983401,417600,G85D5D1,340,01-11-2021,90
33355552984001,417600,G85D5D1,400,01-11-2021,186
33355552984301,417600,G85D5D1,430,01-11-2021,162
33355552984601,417600,G85D5D1,460,01-11-2021,96
33355552984901,417600,G85D5D1,490,01-11-2021,48
33355917815401,417600,F503035,540,16-09-2021,10
33355917815601,417600,F503035,560,16-09-2021,10
33355917815801,417600,F503035,580,16-09-2021,10
33355917816001,417600,F503035,600,16-09-2021,20
33355917816201,417600,F503035,620,16-09-2021,30
33355917816401,417600,F503035,640,16-09-2021,30
33355917816601,417600,F503035,660,16-09-2021,30
33355917816801,417600,F503035,680,16-09-2021,20
33355917845401,417600,F503035,540,02-08-2021,10
33355917845601,417600,F503035,560,02-08-2021,10
33355917845801,417600,F503035,580,02-08-2021,10
33355917846001,417600,F503035,600,02-08-2021,20
33355917846201,417600,F503035,620,02-08-2021,30
33355917846401,417600,F503035,640,02-08-2021,30
33355917846601,417600,F503035,660,02-08-2021,30
33355917846801,417600,F503035,680,02-08-2021,20
33355917875401,417600,F503035,540,02-07-2021,10
33355917875601,417600,F503035,560,02-07-2021,10
33355917875801,417600,F503035,580,02-07-2021,10
33355917876001,417600,F503035,600,02-07-2021,20
33355917876201,417600,F503035,620,02-07-2021,30
33355917876401,417600,F503035,640,02-07-2021,30
33355917876601,417600,F503035,660,02-07-2021,30
33355917876801,417600,F503035,680,02-07-2021,20
33355917905401,417600,F503035,540,07-06-2021,10
33355917905601,417600,F503035,560,07-06-2021,10
33355917905801,417600,F503035,580,07-06-2021,10
33355917906001,417600,F503035,600,07-06-2021,20
33355917906201,417600,F503035,620,07-06-2021,30
33355917906401,417600,F503035,640,07-06-2021,30
33355917906601,417600,F503035,660,07-06-2021,30
33355917906801,417600,F503035,680,07-06-2021,20
33355917907001,417600,F503035,700,07-06-2021,10
33355917907201,417600,F503035,720,07-06-2021,10
33356027826001,417600,F503035,600,07-06-2021,1
33356027826201,417600,F503035,620,07-06-2021,3
33356027826401,417600,F503035,640,07-06-2021,3
33356027826601,417600,F503035,660,07-06-2021,3
33356027826801,417600,F503035,680,07-06-2021,3
33356027827001,417600,F503035,700,07-06-2021,1
33356468705401,417600,F503035,540,19-07-2021,100
33356468705601,417600,F503035,560,19-07-2021,200
33356468705801,417600,F503035,580,19-07-2021,200
33356468706001,417600,F503035,600,19-07-2021,200
33356468706201,417600,F503035,620,19-07-2021,100
33356487216001,417600,F503035,600,07-06-2021,20
33356487216201,417600,F503035,620,07-06-2021,20
33356487216401,417600,F503035,640,07-06-2021,40
33356487216601,417600,F503035,660,07-06-2021,40
33356487216801,417600,F503035,680,07-06-2021,20
33356487217001,417600,F503035,700,07-06-2021,10
33356730186201,417600,F503035,620,01-06-2021,2
33356730186401,417600,F503035,640,01-06-2021,2
33356730186601,417600,F503035,660,01-06-2021,2
33356730186801,417600,F503035,680,01-06-2021,2
33356730187001,417600,F503035,700,01-06-2021,2
33356730306201,417600,F503035,620,26-07-2021,2
33356730306401,417600,F503035,640,26-07-2021,2
33356730306601,417600,F503035,660,26-07-2021,2
33356730306801,417600,F503035,680,26-07-2021,2
33356730307001,417600,F503035,700,26-07-2021,2
33356768315401,417600,F503035,540,16-08-2021,1
33356768315601,417600,F503035,560,16-08-2021,1
33356768315801,417600,F503035,580,16-08-2021,2
33356768316001,417600,F503035,600,16-08-2021,1
33356768316201,417600,F503035,620,16-08-2021,1
33356768316401,417600,F503035,640,16-08-2021,2
33356768316601,417600,F503035,660,16-08-2021,1
33356768316801,417600,F503035,680,16-08-2021,1
