Delivery_Note_Header,Sales_Order_Document,Sales_Organization,Actual_Delivery_Date,Delivery_Qty
1552861423,33355552983001,417600,01-11-2021,10
4881235014,33355552983001,417600,01-11-2021,5
1203940920,33355552983401,417600,01-11-2021,90
8959528981,33355917815401,417600,16-09-2021,6
8959528982,33355917815401,417600,20-09-2021,4
5878803508,33355917815601,417600,16-09-2021,10
7657612030,33355917815801,417600,16-09-2021,10
9808303989,33355917816001,417600,16-09-2021,20
4482165416,33355917816201,417600,16-09-2021,30
8090172378,33355917816401,417600,16-09-2021,30
9152162945,33355917816601,417600,16-09-2021,10
9152162946,33355917816601,417600,25-09-2021,20
5594878964,33355917816801,417600,16-09-2021,20
6954741661,33355917845401,417600,02-08-2021,10
7428053268,33355917845601,417600,02-08-2021,10
1451987993,33355917845801,417600,02-08-2021,10
9382610028,33355917846001,417600,02-08-2021,20
8095948726,33355917846201,417600,02-08-2021,30
6533270466,33355917846401,417600,02-08-2021,30
6355841613,33355917846601,417600,02-08-2021,30
9840316563,33355917846801,417600,02-08-2021,20
8853703283,33355917875401,417600,02-07-2021,10
8689549073,33355917875601,417600,02-07-2021,10
6736346434,33355917875801,417600,02-07-2021,10
5088641667,33355917876001,417600,02-07-2021,20
2473034452,33355917876201,417600,02-07-2021,30
9045575130,33355917876401,417600,02-07-2021,30
3452380481,33355917876601,417600,02-07-2021,30
3935104730,33355917876801,417600,02-07-2021,20
1855356721,33355917905401,417600,07-06-2021,10
4815989550,33355917905601,417600,07-06-2021,10
2132116420,33355917905801,417600,07-06-2021,10
5924718890,33355917906001,417600,07-06-2021,20
9171737131,33355917906201,417600,07-06-2021,30
7466364324,33355917906401,417600,07-06-2021,30
1480970850,33355917906601,417600,07-06-2021,30
9946563740,33355917906801,417600,07-06-2021,20
5254330806,33355917907001,417600,07-06-2021,10
8535277718,33355917907201,417600,07-06-2021,10
7619420435,33356027826001,417600,07-06-2021,1
7957052323,33356027826201,417600,07-06-2021,3
8089279832,33356027826401,417600,07-06-2021,3
1747510479,33356027826601,417600,07-06-2021,3
6006066451,33356027826801,417600,07-06-2021,3
3669113919,33356027827001,417600,07-06-2021,1
4007256039,33356468705401,417600,19-07-2021,60
4007256040,33356468705401,417600,19-07-2021,40
1970504248,33356468705601,417600,19-07-2021,199
2409668793,33356468705801,417600,19-07-2021,198
3388263021,33356468706001,417600,19-07-2021,200
8048545229,33356468706201,417600,19-07-2021,50
8048545230,33356468706201,417600,19-07-2021,50
4824769090,33356487216001,417600,07-06-2021,20
7568126041,33356487216201,417600,07-06-2021,20
2081469005,33356487216401,417600,07-06-2021,40
4071004623,33356487216601,417600,07-06-2021,40
4558752463,33356487216801,417600,07-06-2021,20
1034493611,33356487217001,417600,07-06-2021,10
4306859156,33356730186201,417600,01-06-2021,2
1332101415,33356730186401,417600,01-06-2021,2
1129119766,33356730186601,417600,01-06-2021,2
9424950716,33356730186801,417600,01-06-2021,2
1073428284,33356730187001,417600,01-06-2021,2
6551222883,33356730306201,417600,26-07-2021,2
9971877482,33356730306401,417600,26-07-2021,2
3465324013,33356730306601,417600,26-07-2021,2
5856118697,33356730306801,417600,26-07-2021,2
9239245203,33356730307001,417600,26-07-2021,2
4474223310,33356768315401,417600,16-08-2021,1
8939750933,33356768315601,417600,16-08-2021,1
1113044977,33356768315801,417600,16-08-2021,2
7582208835,33356768316001,417600,16-08-2021,1
4175846239,33356768316201,417600,16-08-2021,1
8078598613,33356768316401,417600,16-08-2021,2
5949125057,33356768316601,417600,16-08-2021,1
1888867193,33356768316801,417600,16-08-2021,1
2544698565,33356768375401,417600,16-08-2021,1
7292334439,33356768375601,417600,16-08-2021,1
3588052842,33356768375801,417600,16-08-2021,2
1969669517,33356768376001,417600,16-08-2021,1
5502071466,33356768376201,417600,16-08-2021,1
3218310884,33356768376401,417600,16-08-2021,2
6560625788,33356768376601,417600,16-08-2021,1
5135486784,33356768376801,417600,16-08-2021,1
5999264074,33356768495401,417600,16-08-2021,1
8934850883,33356768495601,417600,16-08-2021,1
5448280696,33356768495801,417600,16-08-2021,2
8065361612,33356768496001,417600,16-08-2021,1
7729294455,33356768496201,417600,16-08-2021,1
2091528846,33356768496401,417600,16-08-2021,2
7180609760,33356768496601,417600,16-08-2021,1
8108354811,33356768496801,417600,16-08-2021,1
2251918466,33356768525401,417600,16-08-2021,1
8018931266,33356768525601,417600,16-08-2021,1
2446924467,33356768525801,417600,16-08-2021,2
4178366698,33356768526001,417600,16-08-2021,1
2740877477,33356768526201,417600,16-08-2021,1
7527762205,33356768526401,417600,16-08-2021,2
4593954408,33356768526601,417600,16-08-2021,1
4150153995,33356768526801,417600,16-08-2021,1
9199909041,33356768555401,417600,16-08-2021,1
3067785271,33356768555601,417600,16-08-2021,1
7045162824,33356768555801,417600,16-08-2021,2
8965401285,33356768556001,417600,16-08-2021,1
6428302795,33356768556201,417600,16-08-2021,1
1401627450,33356768556401,417600,16-08-2021,2
9456057119,33356768556601,417600,16-08-2021,1
6729209516,33356768556801,417600,16-08-2021,1
7757010316,33356768585401,417600,16-08-2021,1
4920742561,33356768585601,417600,16-08-2021,1
7556656812,33356768585801,417600,16-08-2021,2
7032625700,33356768586001,417600,16-08-2021,1
6219746872,33356768586201,417600,16-08-2021,1
1883711189,33356768586401,417600,16-08-2021,2
9053957776,33356768586601,417600,16-08-2021,1
2858342908,33356768586801,417600,16-08-2021,1
3542397824,33356768615401,417600,16-08-2021,1
1494757537,33356768615601,417600,16-08-2021,1
8620704713,33356768615801,417600,16-08-2021,2
2664928308,33356768616001,417600,16-08-2021,1
5131372660,33356768616201,417600,16-08-2021,1
7680818622,33356768616401,417600,16-08-2021,2
6262609690,33356768616601,417600,16-08-2021,1
9099486222,33356768616801,417600,16-08-2021,1
1593368593,33356768645401,417600,16-08-2021,1
3164227420,33356768645601,417600,16-08-2021,1
5381722272,33356768645801,417600,16-08-2021,2
9103369369,33356768646001,417600,16-08-2021,1
1290832914,33356768646201,417600,16-08-2021,1
5248989826,33356768646401,417600,16-08-2021,2
7485913401,33356768646601,417600,16-08-2021,1
2776476866,33356768646801,417600,16-08-2021,1
8060776092,33356768675401,417600,16-08-2021,1
4621936842,33356768675601,417600,16-08-2021,1
7997526526,33356768675801,417600,16-08-2021,2
3824149429,33356768676001,417600,16-08-2021,1
2605119174,33356768676201,417600,16-08-2021,1
6231426103,33356768676401,417600,16-08-2021,2
2056103333,33356768676601,417600,16-08-2021,1
7596120849,33356768676801,417600,16-08-2021,1
3355110742,33356768705401,417600,16-08-2021,1
5236173547,33356768705601,417600,16-08-2021,1
